SiteId,Site_Name,Site_Brand,Sites_Address_Line_1,Site_Suburb,Site_State,Site_Post_Code,Site_Latitude,Site_Longitude
61401309,Caltex Everton Park,Caltex,675 South Pine Road,Everton Park,QLD,4053,-27.401167,152.987098
61401316,BP Stafford,BP,475 Stafford Road,Stafford,QLD,4053,-27.409246,153.007894
61401323,BP Express Ashgrove,BP,109 Stewart Road,Ashgrove,QLD,4060,-27.439312,152.989804
61401324,7-Eleven Newmarket,7 Eleven,85 Enoggera Road,Newmarket,QLD,4051,-27.438697,153.007549
61401325,NightOwl Shell Kelvin Grove,Shell,305 Kelvin Grove Road,Kelvin Grove,QLD,4059,-27.445405,153.008449
61401329,Caltex Kedron,Caltex,279 Gympie Road,Kedron,QLD,4031,-27.407341,153.032851
61401330,Freedom Fuels Wooloowin,Freedom Fuels,75 Emma Street,Wooloowin,QLD,4030,-27.408151,153.047515
61401334,Ampol Foodary Stafford,Ampol,191 Stafford Road,Stafford,QLD,4053,-27.411163,153.023575
61401341,Caltex Clayfield,Caltex,509 Sandgate Road,Clayfield,QLD,4011,-27.427363,153.050215
61401343,Liberty Grange,Liberty,26 Grange Road,Grange,QLD,4051,-27.424711,153.014242
61401344,Caltex Grange,Caltex,142 Days Road,Grange,QLD,4051,-27.426484,153.017032
61401347,BP Windsor,BP,213A Lutwyche Rd,Windsor,QLD,4030,-27.436091,153.03171
61401348,Ampol Foodary Lutwyche,Ampol,404 Lutwyche Road,Lutwyche,QLD,4030,-27.425923,153.032221
61401349,Caltex Albion,Caltex,5 McLennan Street,Albion,QLD,4010,-27.428941,153.036763
61401353,BP Connect Hamilton,BP,126 Kingsford Smith Drive,Hamilton,QLD,4007,-27.439582,153.049288
61401356,Mobil Driveway Service Hendra Motors,Mobil,154 Kitchener Road,Hendra,QLD,4011,-27.423757,153.062911
61401357,7-Eleven Ascot,7 Eleven,94 Kitchener Road,Ascot,QLD,4007,-27.428401,153.062158
61401359,Ampol Eagle Farm,Ampol,647 Kingsford Smith Drive,Eagle Farm,QLD,4009,-27.434674,153.079126
61401365,BP Lindum,BP,8 Kianawah Road,Wynnum West,QLD,4178,-27.443086,153.143821
61401366,Coles Express Wynnum,Coles Express,2231 Wynnum Road,Wynnum,QLD,4178,-27.443722,153.158029
61401367,Caltex Wynnum West,Caltex,1955 Wynnum Road,Wynnum West,QLD,4178,-27.459106,153.151312
61401371,Caltex Wynnum,Caltex,216 Preston Road,Wynnum,QLD,4178,-27.454515,153.16659
61401373,BP Manly,BP,Gordon Parade,Manly,QLD,4179,-27.457618,153.178618
61401375,7-Eleven The Gap,7 Eleven,1121 Waterworks Road,The Gap,QLD,4061,-27.442954,152.943628
61401377,BP The Gap,BP,850 Waterworks Road,The Gap,QLD,4061,-27.446707,152.959648
61401378,BP Beenleigh,BP,25-27 Logan River Road,Beenleigh,QLD,4207,-27.714145,153.190213
61401380,7-Eleven Ashgrove,7 Eleven,268 Waterworks Road,Ashgrove,QLD,4060,-27.445966,152.991064
61401382,BP Ashgrove (Waterworks Rd),BP,161 Waterworks Road,Ashgrove,QLD,4060,-27.446173,152.997628
61401391,Ampol Foodary Toowong,Unknown,581 Milton Road,Toowong,QLD,4066,-27.478393,152.985913
61401393,Coles Express Milton,Coles Express,319 Coronation Drive,Milton,QLD,4064,-27.474103,153.003788
61401398,Shell Reddy Express Mount Gravatt,Reddy Express,1582 Logan Rd,Mount Gravatt,QLD,4122,-27.54228,153.081895
61401399,7-Eleven Mt Gravatt East,7 Eleven,Cavendish Road,Mount Gravatt East,QLD,4122,-27.531667,153.093346
61401406,BP Capalaba,BP,65 Old Cleveland Road,Capalaba,QLD,4157,-27.520762,153.191515
61401409,Metro Petroleum Thornlands,Metro Fuel,367 Bloomfield Street,Thornlands,QLD,4164,-27.547921,153.265198
61401411,Ampol Foodary Jindalee,Ampol,Yallambee Road,Jindalee,QLD,4074,-27.536554,152.941828
61401413,BP Riverhills,BP,138 Riverhills Road,Riverhills,QLD,4074,-27.556375,152.914702
61401417,BP Oxley,BP,945 Oxley Road,Oxley,QLD,4075,-27.553177,152.978872
61401421,Freedom Fuels Inala,Freedom Fuels,215 Rudd Street,Inala,QLD,4077,-27.577858,152.973598
61401422,7-Eleven Durack,7 Eleven,14 Rosemary Street,Inala,QLD,4077,-27.579277,152.974477
61401426,Coles Express Granard Rd,Coles Express,53 Beatty Rd (Cnr Granard Rd),Rocklea,QLD,4106,-27.558091,153.015808
61401427,Pacific Fuel Solutions Rocklea,Pacific Fuel Solutio,1628 Ipswich Road,Rocklea,QLD,4106,-27.558127,153.006358
